[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[-0.19999999  0.075       0.1525    ],[-0.20008272  0.07503936  0.33999392],[-0.26368675  0.10407086  0.5053075 ],[-0.34182894  0.13973837  0.70838904],[-0.40406168  0.16818342  0.87406421],[-0.50904113  0.14444143  1.07754195],[-0.48287582  0.20347616  1.16370296]
[-0.19999999  0.075       0.1525    ],[-0.20008641  0.07502461  0.33999416],[-0.27381843  0.09495509  0.50242341],[-0.36440206  0.11944024  0.7019614 ],[-0.41213405  0.13367939  0.87414783],[-0.4891355   0.08856011  1.0863328 ],[-0.47753695  0.1533296   1.17156124]
[-0.19999999  0.075       0.1525    ],[-0.2000543   0.07500815  0.33999693],[-0.25213695  0.08193026  0.51163065],[-0.31612173  0.09043415  0.72247195],[-0.34056166  0.09444815  0.8999998 ],[-0.38062367  0.03490736  1.11871636],[-0.37919462  0.10082638  1.20384049]
[-0.19999999  0.075       0.1525    ],[-0.20005608  0.07500321  0.33999687],[-0.25210521  0.07614235  0.51177663],[-0.31604913  0.07754222  0.7227968 ],[-0.34635332  0.07908034  0.89945745],[-0.38751826  0.01583795  1.11692715],[-0.39672139  0.081625    1.20166695]
[-0.19999999  0.075       0.1525    ],[-0.20008308  0.07498901  0.33999443],[-0.28188977  0.06554128  0.49947903],[-0.3823922   0.05393423  0.69540125],[-0.42000109  0.04401822  0.87037581],[-0.47035009 -0.0331674   1.08131373],[-0.46991137  0.02605223  1.17123759]
[-0.19999999  0.075       0.1525    ],[-0.2000894   0.0749658   0.33999327],[-0.28521881  0.05045524  0.4960964 ],[-0.38980448  0.02034104  0.68786907],[-0.43037152 -0.00494767  0.86062104],[-0.48389703 -0.1004504   1.06311214],[-0.48466712 -0.04933313  1.15787387]
[-0.19999999  0.075       0.1525    ],[-0.20008913  0.07496224  0.33999303],[-0.28493115  0.04841761  0.49591935],[-0.38916397  0.01580402  0.68747652],[-0.43317959 -0.01462851  0.85854626],[-0.4854486  -0.11642145  1.05828297],[-0.49505028 -0.06664997  1.15327728]
[-0.19999999  0.075       0.1525    ],[-0.20012133  0.07495871  0.33998847],[-0.31040233  0.04299583  0.47793627],[-0.4458915   0.00372567  0.64741457],[-0.51719481 -0.03162644  0.80801982],[-0.59212911 -0.13860688  0.99756742],[-0.61331415 -0.08779327  1.09010255]
[-0.19999999  0.075       0.1525    ],[-0.20014481  0.07495366  0.33998492],[-0.31377932  0.03809951  0.47392559],[-0.45339271 -0.00718053  0.63848311],[-0.55377239 -0.04265571  0.78268474],[-0.65629852 -0.14808814  0.95977116],[-0.70151669 -0.09522195  1.04195356]
[-0.19999999  0.075       0.1525    ],[-0.20014632  0.0749709   0.33998537],[-0.30845404  0.05166268  0.481186  ],[-0.44152385  0.02302523  0.65466064],[-5.55418193e-01 -3.37867998e-04  7.91089833e-01],[-0.68216801 -0.09294454  0.95945567],[-0.72865677 -0.03563126  1.03786159]
[-0.19999999  0.075       0.1525    ],[-0.20016395  0.07496504  0.33998144],[-0.32208216  0.04543701  0.46832928],[-0.47187749  0.00915731  0.62602097],[-0.60013938 -0.02030134  0.74772614],[-0.74299127 -0.1200543   0.8981626 ],[-0.79888028 -0.06559802  0.97235429]
[-0.19999999  0.075       0.1525    ],[-0.20017424  0.07495512  0.33997807],[-0.33911449  0.03789131  0.44735014],[-0.50982475 -0.00764824  0.57928044],[-0.63738596 -0.04447019  0.6996991 ],[-0.77745509 -0.15279546  0.84678292],[-0.84630823 -0.10509916  0.91444159]
[-0.19999999  0.075       0.1525    ],[-0.20017183  0.07498129  0.33997989],[-0.34310949  0.06037299  0.4475134 ],[-0.51872885  0.04242348  0.57964033],[-0.63217676  0.02313284  0.71706253],[-0.76515532 -0.06543317  0.88277239],[-0.8184033  -0.00934461  0.95768744]
[-0.19999999  0.075       0.1525    ],[-0.20016614  0.07498842  0.33998072],[-0.34314758  0.06546403  0.44802737],[-0.51881933  0.05376143  0.58078349],[-0.63231069  0.03873058  0.7187025 ],[-0.76859194 -0.04480615  0.88434327],[-0.81672859  0.01311749  0.96129268]
[-0.19999999  0.075       0.1525    ],[-0.20017953  0.07498737  0.33997816],[-0.34711426  0.06536464  0.44256753],[-0.52764696  0.05354052  0.56862319],[-0.65067303  0.03868244  0.69812745],[-0.79884851 -0.04464531  0.85333025],[-0.85054845  0.01327465  0.927935  ]
